state,SHELDED,FSSLTDED,HWGT,CERTHHSZ,FSTOTDED,FSUNEARN,FSSTDDE2,TANF_IND,FSEARN,FSTANF,RAWERND,LIQRESOR,FSASSET,FSSLTDE2,WRK_POOR
Connecticut,535,535,1202,5,734,220,0,0,0,0,0,0,0,21,0
Connecticut,563,563,3679,1,723,770,240,0,0,0,0,0,0,563,0
Connecticut,733,733,3580,1,893,750,97,0,0,0,0,0,0,590,0
Connecticut,933,933,3580,1,1093,750,0,0,0,0,0,0,0,590,0
Connecticut,535,535,2867,2,806,160,73,0,559,0,112,0,0,448,1
Connecticut,736,736,3361,2,896,1144,240,0,0,0,0,0,0,736,0
Connecticut,535,535,1314,5,734,788,282,1,0,738,0,0,0,535,0
Connecticut,535,535,2424,3,857,150,160,0,814,0,163,0,0,535,1
Connecticut,535,535,2584,6,2010,1044,228,0,2000,0,400,0,0,535,1
Connecticut,0,0,2206,3,160,133,133,0,0,0,0,0,0,0,0
Connecticut,598,598,3587,1,758,760,240,0,0,0,0,0,0,598,0
Connecticut,535,535,3580,1,695,0,0,0,0,0,0,0,0,0,0
Connecticut,535,535,3580,1,808,0,0,0,568,0,114,0,0,295,1
Connecticut,985,975,3580,1,1135,966,71,0,0,0,0,0,0,806,0
Connecticut,535,535,4183,3,1565,0,160,0,2563,0,513,0,0,535,1
Connecticut,0,0,3580,1,160,0,0,0,0,0,0,0,0,0,0
Connecticut,535,535,2206,3,695,549,14,1,0,549,0,0,0,389,0
Connecticut,0,0,3580,1,160,0,0,0,0,0,0,0,0,0,0
Connecticut,0,0,3639,1,191,219,160,0,0,0,0,0,0,0,0
Connecticut,508,507,3608,4,1092,0,255,0,2079,0,416,0,0,507,1
Connecticut,49,49,1920,3,209,1857,209,1,0,337,0,0,0,49,0
Connecticut,0,0,3560,1,160,0,0,0,0,0,0,0,0,0,0
Connecticut,848,535,3560,1,695,219,0,0,0,0,0,0,0,59,0
Connecticut,1355,1355,3487,2,1515,1106,0,0,0,0,0,0,0,946,0
Connecticut,1029,1029,3560,1,1189,909,0,0,0,0,0,0,0,749,0
Connecticut,822,822,2568,6,1050,1488,342,1,0,738,0,0,0,822,0
Connecticut,644,644,3560,1,804,750,186,0,0,0,0,0,0,590,0
Connecticut,424,424,2353,5,773,803,298,1,754,803,151,0,0,424,1
Connecticut,899,899,3560,1,1059,219,0,0,0,0,0,0,0,59,0
Connecticut,0,0,3560,1,160,0,0,0,0,0,0,0,0,0,0
Connecticut,535,535,3115,1,695,1194,160,0,0,0,0,0,0,535,0
Connecticut,1071,1072,3560,1,1284,618,0,0,263,0,53,0,0,669,1
Connecticut,535,535,2330,3,1165,0,184,0,2354,0,471,0,0,535,1
Connecticut,772,772,3006,2,932,1472,240,1,0,366,0,0,0,772,0
Connecticut,859,859,3560,1,1019,849,70,0,0,0,0,0,0,689,0
Connecticut,1108,1108,3560,1,1268,750,0,0,0,0,0,0,0,590,0
Connecticut,504,505,2250,3,1150,0,240,0,2428,0,485,0,0,505,1
Connecticut,921,921,3040,3,1261,750,240,0,904,0,181,0,0,921,1
Connecticut,535,535,3560,1,772,0,0,0,387,0,80,0,0,150,1
Connecticut,0,0,3035,1,160,924,160,0,0,0,0,0,0,0,0
Connecticut,1150,1123,3145,4,1295,1394,255,0,14,0,2,0,0,1123,1
Connecticut,32,32,2173,3,192,1558,192,0,0,0,0,0,0,32,0
Connecticut,0,0,3560,1,160,0,0,0,0,0,0,0,0,0,0
Connecticut,1023,1023,3560,1,1183,770,0,0,0,0,0,0,0,610,0
Connecticut,765,765,3560,1,925,886,201,0,0,0,0,0,0,726,0
Connecticut,0,0,3560,1,160,0,0,0,0,0,0,0,0,0,0
Connecticut,565,565,3195,1,725,1134,240,0,0,0,0,0,0,565,0
Connecticut,535,535,3054,5,734,0,0,0,0,0,0,0,0,0,0
Connecticut,531,531,3305,1,691,977,240,0,0,0,0,0,0,531,0
Connecticut,789,535,3324,2,1816,150,160,0,1848,0,369,0,0,535,1
Connecticut,0,0,3189,1,160,576,160,0,0,0,0,0,0,0,0
Connecticut,0,0,3560,1,160,0,0,0,0,0,0,0,0,0,0
Connecticut,535,535,3124,1,990,0,208,0,1477,0,295,0,0,535,1
Connecticut,227,227,3319,3,421,498,240,1,0,448,0,0,0,227,0
Connecticut,535,535,3152,2,962,0,160,0,1338,0,268,0,0,535,1
Connecticut,782,782,3462,1,942,1052,240,0,0,0,0,0,0,782,0
Connecticut,953,954,3560,1,1114,909,35,0,0,0,0,0,0,749,0
Connecticut,535,535,2959,2,978,150,217,0,1419,0,284,0,0,535,1
Connecticut,461,461,1904,4,631,2135,255,1,0,487,0,0,0,461,0
Connecticut,1048,1048,3560,1,1208,770,0,0,0,0,0,0,0,610,0
Connecticut,738,738,3522,1,898,941,240,0,0,0,0,0,0,738,0
Connecticut,470,470,3453,1,630,750,240,0,0,0,0,0,0,470,0
Connecticut,449,449,3035,1,609,1483,240,0,0,0,0,0,0,449,0
Connecticut,535,535,3480,1,890,0,160,0,979,0,196,0,0,535,1
Connecticut,53,53,1005,5,889,0,252,0,3187,0,637,0,0,53,1
Connecticut,535,535,2617,5,1451,75,199,0,1866,0,373,0,0,535,1
Connecticut,881,881,3560,1,1041,909,108,0,0,0,0,0,0,749,0
Connecticut,631,632,3445,1,1074,1203,240,0,0,0,0,0,0,632,0
Connecticut,535,535,3560,1,695,0,0,0,0,0,0,0,0,0,0
Connecticut,779,780,2486,2,940,2407,240,0,0,0,0,0,0,780,0
Connecticut,0,0,3105,3,160,480,160,0,0,0,0,0,0,0,0
Connecticut,849,535,3560,1,695,219,0,0,0,0,0,0,0,59,0
Connecticut,0,0,3390,3,160,0,0,0,0,0,0,0,0,0,0
Connecticut,535,535,3560,1,695,219,0,0,0,0,0,0,0,59,0
Connecticut,473,473,3035,1,633,1640,240,0,0,0,0,0,0,473,0
Connecticut,535,535,2357,3,1335,0,160,0,2494,0,499,0,0,535,1
Connecticut,854,854,3560,1,1014,909,135,0,0,0,0,0,0,749,0
Connecticut,0,0,3560,1,160,0,0,0,0,0,0,0,0,0,0
Connecticut,0,0,3035,1,160,750,160,0,0,0,0,0,0,0,0
Connecticut,535,535,3560,1,842,0,0,0,543,0,109,0,0,236,1
Connecticut,1003,780,2846,2,940,1657,240,0,0,0,0,0,0,780,0
Connecticut,535,535,2065,5,1194,0,199,0,2303,0,461,0,0,535,1
Connecticut,973,973,3560,1,1232,770,0,0,0,0,0,0,0,511,0
Connecticut,535,535,3010,3,695,1121,160,0,0,0,0,0,0,535,0
Connecticut,0,0,3390,3,160,0,0,0,0,0,0,0,0,0,0
Connecticut,0,0,3560,1,160,0,0,0,0,0,0,0,0,0,0
Connecticut,958,958,3560,1,1118,500,0,0,0,0,0,0,0,340,0
Connecticut,535,535,3487,2,695,487,0,1,0,487,0,0,0,327,0
Connecticut,707,707,3035,1,867,1653,240,0,0,0,0,0,0,707,0
Connecticut,203,203,4754,1,363,909,240,0,0,0,0,0,0,203,0
Connecticut,900,900,2921,2,1060,1116,240,1,0,366,0,0,0,900,0
Connecticut,324,324,2810,1,613,1145,240,0,648,0,129,0,0,324,1
Connecticut,0,0,2878,1,160,0,0,0,0,0,0,0,0,0,0
Connecticut,898,898,2878,1,1721,1633,152,0,0,0,0,0,0,810,0
Connecticut,572,572,2882,2,926,343,240,0,970,0,194,0,0,572,1
Connecticut,0,0,2878,1,160,0,0,0,0,0,0,0,0,0,0
Connecticut,535,535,3014,4,705,684,149,1,0,684,0,0,0,514,0
Connecticut,746,746,2851,1,906,1144,240,0,0,0,0,0,0,746,0
Connecticut,400,400,2928,2,560,0,0,0,0,0,0,0,0,0,0
Connecticut,0,0,2878,1,160,20,20,0,0,0,0,0,0,0,0
Connecticut,0,0,2871,1,160,219,160,0,0,0,0,0,0,0,0
Connecticut,0,0,2810,1,160,1170,160,0,0,0,0,0,0,0,0
Connecticut,933,933,2878,1,1093,750,0,0,0,0,0,0,0,590,0
Connecticut,633,633,2878,1,793,750,197,0,0,0,0,0,0,590,0
Connecticut,1386,1387,2878,1,1547,1497,190,0,0,0,0,0,0,1337,0
Connecticut,535,535,2974,3,851,0,136,0,784,0,157,0,0,468,1
Connecticut,0,0,2878,1,160,0,0,0,0,0,0,0,0,0,0
Connecticut,808,808,2878,1,968,750,22,0,0,0,0,0,0,590,0
Connecticut,539,539,2861,1,699,850,240,0,0,0,0,0,0,539,0
Connecticut,589,0,2810,1,160,1857,160,0,0,0,0,0,0,0,0
Connecticut,0,0,2878,1,160,115,115,0,0,0,0,0,0,0,0
Connecticut,535,535,2875,2,1305,0,160,0,1760,0,352,0,0,535,1
Connecticut,535,535,3012,4,883,0,170,0,894,0,179,0,0,535,1
Connecticut,1138,1138,2878,1,1298,740,0,0,0,0,0,0,0,580,0
Connecticut,0,0,2878,1,160,0,0,0,0,0,0,0,0,0,0
Connecticut,1145,1145,2878,1,1305,927,0,0,0,0,0,0,0,767,0
Connecticut,309,309,2797,2,469,2377,240,0,0,0,0,0,0,309,0
